name;dt;href;source
Сериал «Зулейха открывает глаза» рассорил россиян;2020-04-18 12:25:00;https://yandex.ru/news/story/Serial_Zulejkha_otkryvaet_glaza_rassoril_rossiyan--0e9043e6ee367a929e81c400057fb9ec?lr=213&lang=ru&stid=ckq-A6qGTHiwcNgnfjwj&persistent_id=94172090&rubric=culture&from=index;Московский Комсомолец
Сериал «Зулейха открывает глаза» оскорбил чувства мусульман;2020-04-18 15:22:00;https://yandex.ru/news/story/Serial_Zulejkha_otkryvaet_glaza_oskorbil_chuvstva_musulman--b1f169a7b80447cb81bca862e88467ab?lr=213&lang=ru&stid=1dxGUzqwiUtSZ5ALq29y&persistent_id=94830497&rubric=culture&from=index;Накануне.Ru
Юрий Быков снимет многосерийный фильм про нулевые;2020-04-18 16:04:00;https://yandex.ru/news/story/YUrij_Bykov_snimet_mnogoserijnyj_film_pro_nulevye--693f36d3dd13ab5c229e37044e5e7b3c?lr=213&lang=ru&stid=z50DX5Z7Fr7RfqDj0dq1&persistent_id=94851061&rubric=culture&from=index;Афиша Daily
Little Big выступят на концерте «Евровидения»;2020-04-18 10:33:00;https://yandex.ru/news/story/Little_Big_vystupyat_na_koncerte_Evrovideniya--5f43f1aef69c8dbe4d10719893bf784f?lr=213&lang=ru&stid=R4nChURPiyKSvGf9gSXR&persistent_id=92638570&rubric=culture&from=index;Lenta.ru
Определены финалисты шоу «Голос. Дети»;2020-04-18 14:36:00;https://yandex.ru/news/story/Opredeleny_finalisty_shou_Golos._Deti--eb835c0cb76d7bd6f5400abef12e4ff8?lr=213&lang=ru&stid=HkmLQOD0i6Sxyx5FVvSQ&persistent_id=94813502&rubric=culture&from=index;Вечерний курьер
В России создали мини-ПК на процессоре «Байкал»;2020-04-18 14:46:00;https://yandex.ru/news/story/V_Rossii_sozdali_mini-PK_na_processore_Bajkal--cbeab69bc340c8e555f3d970879c9abd?lr=213&lang=ru&stid=ULzd3_mD18N1hgYMFraC&persistent_id=94837824&rubric=computers&from=index;Astera
Apple презентовала новый iPhone SE — в бюджетном исполнении;2020-04-17 20:47:00;https://yandex.ru/news/story/Apple_prezentovala_novyj_iPhone_SE__v_byudzhetnom_ispolnenii--b676708ae7b814f70888b862109f5f2e?lr=213&lang=ru&stid=FTZZFbg1XJHq5xMXovdl&persistent_id=94184861&rubric=computers&from=index;BFM.ru
Airbus научился заправлять самолеты в воздухе;2020-04-18 16:18:00;https://yandex.ru/news/story/Airbus_nauchilsya_zapravlyat_samolety_v_vozdukhe--59ab4086adab99720123b27edd8dac8e?lr=213&lang=ru&stid=8vFKRkftCHJIzMJ8l0lh&persistent_id=94820197&rubric=computers&from=index;NewInform
Google планирует выпустить собственную дебетовую карту Google Pay Card;2020-04-18 16:08:00;https://yandex.ru/news/story/Google_planiruet_vypustit_sobstvennuyu_debetovuyu_kartu_Google_Pay_Card--c1e5ef33c47c35ef0b8408c560426388?lr=213&lang=ru&stid=y5QFRYBMsAoD_cnDo33k&persistent_id=94814948&rubric=computers&from=index;РЕН ТВ
Microsoft выпустила плановые обновления для ОС Windows 10;2020-04-18 12:57:00;https://yandex.ru/news/story/Microsoft_vypustila_planovye_obnovleniya_dlya_OS_Windows_10--4a4da91cf3ec36af55cadb5b196b4560?lr=213&lang=ru&stid=LA0GYbCi156SCh1qjDWh&persistent_id=94302529&rubric=computers&from=index;Astera
Создан новый метод хранения водорода и метана для топливных элементов;2020-04-18 16:06:00;https://yandex.ru/news/story/Sozdan_novyj_metod_khraneniya_vodoroda_i_metana_dlya_toplivnykh_ehlementov--e3c50eeba3385621d71ca134355d3752?lr=213&lang=ru&stid=R6-n38knPdTAH_v23sKq&persistent_id=94318146&rubric=science&from=index;Индикатор
Кольцехвостые лемуры научились привлекать самок цветочным ароматом;2020-04-18 16:04:00;https://yandex.ru/news/story/Kolcekhvostye_lemury_nauchilis_privlekat_samok_cvetochnym_aromatom--b36071be335e567250048faf1a8e2417?lr=213&lang=ru&stid=80qi7IXM1ivGxWkbZxv3&persistent_id=94271835&rubric=science&from=index;REGNUM
Таламус поучаствовал в принятии вероятностных решений;2020-04-18 15:46:00;https://yandex.ru/news/story/Talamus_pouchastvoval_v_prinyatii_veroyatnostnykh_reshenij--8fa00fa5e23358eb9235f23979b33d1f?lr=213&lang=ru&stid=oA8MvqnzlNn1TjZk&persistent_id=94338335&rubric=science&from=index;N+1
Физически активные беременные мыши запасли бурый жир себе и детям;2020-04-18 13:10:00;https://yandex.ru/news/story/Fizicheski_aktivnye_beremennye_myshi_zapasli_buryj_zhir_sebe_i_detyam--75b5c539afdc7a22a359cf14389bfbac?lr=213&lang=ru&stid=DQl9&persistent_id=94812066&rubric=science&from=index;N+1
Морские лилии стали невкусными без помощи симбионтов;2020-04-18 13:05:00;https://yandex.ru/news/story/Morskie_lilii_stali_nevkusnymi_bez_pomoshhi_simbiontov--0c01b7198221c95857982548845f211c?lr=213&lang=ru&stid=royJ&persistent_id=94812702&rubric=science&from=index;N+1
В ГИБДД назвали самые непопулярные автомобили в РФ;2020-04-18 16:13:00;https://yandex.ru/news/story/V_GIBDD_nazvali_samye_nepopulyarnye_avtomobili_v_RF--76988d952859879fa567ac2acaea2341?lr=213&lang=ru&stid=ekhIXnSVR_stqOpsP2N7&persistent_id=94265440&rubric=auto&from=index;Газета DAILY
Названы причины продажи почти новых автомобилей с минимальным пробегом;2020-04-18 15:06:00;https://yandex.ru/news/story/Nazvany_prichiny_prodazhi_pochti_novykh_avtomobilej_s_minimalnym_probegom--96bd2bde9a796644c011f5645416bf2e?lr=213&lang=ru&stid=QNho05hfCoLWyh0taPaN&persistent_id=94840222&rubric=auto&from=index;Тарантас Ньюс
